,Bios
3,work in librari and go to school
4,hey how it going? current vagu on the profil know more to come soon look to meet new folk outsid of my circl of friend pretti respons on the repli tip feel free to drop line cheer
6,life is about the littl thing love to laugh it easi to do when one can find beauti and humor in the ugli this perspect make for more gratifi life it gift we are here to play
7,nan
8,nan
12,bang my shit bang
13,nan
14,nan
15,nan
21,my name is ashley and live in san francisco love to danc speak spanish smile and enjoy life!
22,tend to think the same way comedian doe about near everyth and laugh more than ani other particular activ adventur are key ingredi to my happi whether it be new restaur hike or sport usual forg ahead toward someth new you coming?
35,new here come soon
36,lost needl in haystack onc and found it! that pretti much sum me up!
42,an optimist with healthi sens of impend doom an artist and travel who also jazz about my soul suck offic job in squaresvill emeryvill aaand go to finish this later be this clever take lot out of me and also make me hate myself until then here joke guy walk into bar or someth go to finish that later too
44,am an east coast transplant look for fun and genuin human interact ve been singl for quit awhil in order to rediscov myself and now find myself readi to discov someon els
49,nan
50,go to start right off break into song nina simon say it better than can type
51,nan
52,free cultur nerd travel talk and teach
58,nan
62,nan
64,nan
66,it will be way too bore to just reveal yourself in plain text guess it will be more interest if we discov each other in person plus im wari of onlin profil
68,slept and dreamt that life was joy awok and saw that life was servic act and behold servic was joy rabindranath tagor
71,nan
75,as write this am sit in my live room with four of my housem three of whom are make okcupid profil this is pretti silli am pretti silli posi core queer and poli current in an open relationship this site doe not have check box for these thing yet
78,sauci unpredict forc of natur love to laugh explor learn and challeng my own world view
79,origin from southern california move up to san fransico to pursu degre in film love movi and work on film relat project like exercis and stay activ look for someon to hang out with
80,nan
84,nan
88,don have much to say an old school kid of guy that strong believ that two peopl should express and learn about eachoth face to face that is what is excit about date and love is discov one anoth
89,pisc odd becaus allerg to fish mayb you think all that horiscop stuff is bullshit but hey this is date websit and couldn help but referenc someth so cliche! in general my outlook on life is that you should be kind to other peopl and when you find peopl you care about you should prove it to them also life should be fun and when possibl includ great wine
90,mmmmmm idk what to say so just ask me
92,in need insert pouti face here
98,one day will mod hotchickswithspreadsheet <3 data and joke about fart joke my hobbi includ wikipedia and chortl write rap that no one will hear do not have booti like minaj
103,have been in sf for coupl of year for busi and veri pleas to call it home now no intent to head back home to australia anytim soon as there just so much to do here and so mani interest peopl to meet
111,nan
112,helloooo lol jk hi like to have fun and make peopl laugh im easi go and get along with most peopl love do varieti of thing like play pool bowl drive just to drive cook yea can cook travel been to mani state and few countri go to movi the beach just be out door or even just chill at home and be lazi lol there realli lot more but that all can think of at the moment
115,in general open with how feel and what on my mind tend to talk to much and have strong opinion bout the world some need to be told to shut it but don take offenc to it don believ conspiraci govern god ghost alien exc but love talk about them when someon bring them up
116,nan
117,almost 54 and and ve decid what want to be when grow up
